序号|股票代码|股票简称|现价|涨跌幅(%)|所属行业|最新流通市值(元)|所属概念|概念个数
14|000157|中联重科|7.95|-1.97|工程机械|56203870208|智能机器;固态电池;无人机;新型工业;人工智能;人形机器;燃料电池;含H股;物联网;水利建设;光伏;节能环保;高端装备;一带一路;乡村振兴;氢能源;工业互联;百度概念;无人驾驶;绿色电力;东数西算;雅江水电|22
15|000158|常山北明|17.2|-0.92|软件服务|27312080896|智慧城市;数据中心;绿色电力;东数西算;抖音概念;冷链物流;数据确权;华为算力;光伏;智能交通;充电桩;互联金融;信息安全;雄安新区;华为鸿蒙;智慧政务;算力租赁;车联网;DeepSeek;口罩防护;智谱AI;人工智能;腾讯概念;国资云;信创;国产软件;区块链;大数据;工业互联;阿里概念;百度概念;物业管理|32
16|000166|申万宏源|4.74|0|证券|106818306048|含H股|1
17|000301|东方盛虹|13.27|0.08|化纤|87689838592|含可转债;锂电池;光伏;碳纤维;工业互联;POE胶膜;含GDR;含GDR|8
18|000333|美的集团|81.1|-0.26|白色家电|555960238080|智能机器;智能家居;人形机器;AI智能体;工业互联;芯片;热管理;智能电网;含H股;物联网;一带一路;数据中心;液冷服务;MCU芯片;热泵概念|15
19|000338|潍柴动力|31.2|3.48|汽车零部件|156108996608|数据中心;氢能源;AI智能体;新能源车;储能;固态电池;车联网;DeepSeek;汽车电子;燃料电池;含H股;锂电池;节能环保;高端装备|14
20|000400|许继电气|25.19|-0.71|电网设备|25484756992|智能电网;光伏;高端装备;充电桩;一带一路;特斯拉;氢能源;换电概念;新能源车;储能;虚拟电厂;数据中心;高压快充;华为鸿蒙;DeepSeek;可控核变;特高压;人形机器|18
21|000408|藏格矿业|89.26|-1.92|农用化工|140156878848|黄金概念;锂电池;盐湖提锂;锂矿;化肥概念|5
22|000415|渤海租赁|4.68|-1.89|多元金融|25238835200|低空经济;飞行汽车;雄安新区|3
23|000423|东阿阿胶|55|0.36|中药|35356766208|旅游概念;乡村振兴;预制菜|3
24|000425|徐工机械|9.95|-3.4|工程机械|89641762816|氢能源;工业互联;无人驾驶;雅江水电;高端装备;一带一路;智能机器|7
25|000426|兴业银锡|42.38|-2.22|工业金属|75233214464|钴金属;镍金属;黄金概念|3
26|000519|中兵红箭|17.74|2.07|地面兵装|24703993856|国防军工;无人机;军民融合;培育钻石;中特估;新材料;新能源车;商业航天;芯片|9
27|000537|绿发电力|9.89|-3.51|电力|20331051008|光热发电;光伏;海南自贸;风电;储能;绿色电力|6
28|000538|云南白药|53.05|0|中药|94054113280|通达信88;医美概念;口罩防护;工业大麻;创新药|5
29|000547|航天发展|24.58|2.16|军工电子|39060598784|东数西算;三代半导;军工信息;大数据;乡村振兴;元宇宙;混合现实;低空经济;商业航天;芯片;智慧政务;多模态AI;DeepSeek;无人机;军民融合;人工智能;信创;虚拟现实;海峡西岸;5G概念;国防军工;卫星导航;安防服务;风电;信息安全|25
30|000559|万向钱潮|16.09|1.58|汽车零部件|53327872000|智能机器;固态电池;汽车电子;无人机;小米汽车;人形机器;小米概念;低空经济;新能源车;储能;绿色电力;MCU芯片;锂电池;光伏|14
31|000564|供销大集|1.75|0.57|一般零售|26416039936|军民融合;IP经济;供销社;乡村振兴;网红经济;免税概念;百度概念;物业管理;跨境电商;抖音概念;冷链物流;新零售|12
32|000568|泸州老窖|100.1|-1.6|酿酒|147272761344|白酒概念|1
33|000582|北部湾港|11.56|2.3|航运港口|24933169152|航运概念;冷链物流;智能机器;DeepSeek;人工智能;区块链;一带一路;乡村振兴;星闪概念;天然气|10
34|000592|平潭发展|10.76|1.13|林业|20606396416|海峡西岸;风沙治理;民营医院;旅游概念;乡村振兴;免税概念;合成生物;新材料|8
35|000596|古井贡酒|107.23|-1.76|酿酒|43814178816|含B股;白酒概念|2
36|000598|兴蓉环境|6.9|-1|水务|20556673024|数字孪生;水利建设;节能环保;PPP概念;地下管网|5
37|000603|盛达资源|36.48|-2.72|贵金属|24321812480|镍金属;黄金概念|2
38|000617|中油资本|9.44|-0.53|多元金融|119341219840|碳中和;创投概念;一带一路;氢能源;跨境支付;可控核变;数字货币;中特估|8
39|000623|吉林敖东|18.87|1.07|中药|22473539584|肝炎概念;创投概念;婴童概念;乡村振兴;网红经济;幽门菌;创新药;工业互联;口罩防护|9
40|000625|长安汽车|9.53|-1.65|乘用车|78785585152|固态电池;车联网;DeepSeek;腾讯概念;华为汽车;人形机器;燃料电池;含B股;一带一路;超级电容;氢能源;换电概念;低空经济;新能源车;电池回收;飞行汽车;无人驾驶|17
41|000629|钒钛股份|3.64|-1.36|稀有金属|33817219072|氢能源;钒电池;储能;高铁;稀缺资源;钛金属|6
42|000630|铜陵有色|6.15|-2.84|工业金属|68529389568|新能源车;PCB概念;镍金属;新材料;黄金概念;稀缺资源;5G概念;锂电池|8
43|000636|风华高科|25.09|-0.75|元器件|29029459968|智能机器;粤港澳;汽车电子;无人机;AI眼镜;5G概念;锂电池;创投概念;卫星导航;智能穿戴;东数西算;液冷服务;超级电容;高压快充;CPO概念;低空经济;商业航天;储能|18
44|000651|格力电器|40.05|-1.04|白色家电|221156474880|物联网;锂电池;新零售;三代半导;液冷服务;MCU芯片;工业母机;一体压铸;热泵概念;预制菜;新能源车;工业互联;芯片;储能;智能机器;智能家居;口罩防护|17
45|000657|中钨高新|58.19|1.54|稀有金属|84545724416|PCB概念;国防军工;创投概念;光伏;高端装备;海南自贸;新材料;工业母机;雅江水电;钴金属;DeepSeek|11
46|000661|长春高新|84.93|-0.62|生物制品|33939269632|医美概念;仿制药;基因概念;生物疫苗;创新药;AI智能体;辅助生殖;AI医疗|8
47|000683|博源化工|8.96|-1.54|化学原料|29945323520|化肥概念;碳中和|2
48|000686|东北证券|8.67|0.58|证券|20291727360||0
49|000688|国城矿业|51.48|4.34|工业金属|61007065088|锂矿;黄金概念;锂电池;钴金属;钛金属|5
50|000703|恒逸石化|17.65|2.68|化纤|67103727616|新材料;大数据;降解塑料;阿里概念;含可转债;互联金融;一带一路|7
51|000708|中信特钢|15.25|-1.49|特钢|76968820736|氢能源;新能源车;商业航天;通达信88;含可转债;核电核能;智能机器;中特估|8
52|000709|河钢股份|2.33|-4.12|普钢|24081510400|雄安新区;钛金属;可控核变;核电核能;钒电池;钠电池;储能|7
53|000725|京东方Ａ|4.08|-2.16|光学光电|148273971200|电子纸;OLED概念;人工智能;光通信;AI眼镜;虚拟现实;通达信88;含B股;物联网;光伏;新零售;苹果概念;充电桩;智能穿戴;民营医院;MiniLED;钙钛矿;小米概念;工业互联;超清视频;MicroLED;芯片;储能;虚拟电厂;折叠屏;智能医疗|26
54|000728|国元证券|7.35|-0.14|证券|32073768960||0
55|000729|燕京啤酒|13.3|0.68|酿酒|33377769472||0
56|000733|振华科技|42.61|-2.14|军工电子|23609972736|低空经济;新能源车;飞行汽车;商业航天;芯片;储能;国防军工;锂电池;卫星导航;三代半导;大飞机;超级电容;军民融合|13
57|000737|北方铜业|14.34|3.09|工业金属|27311093760|PCB概念;黄金概念;稀缺资源|3
58|000738|航发控制|20.73|2.12|航空装备|27263764480|国防军工;高端装备;商业航天;大飞机;无人机;军民融合|6
59|000739|普洛药业|18.27|-1.08|化学制药|21156814848|医美概念;创新药;宠物经济;AI智能体;工业互联;减肥药;合成生物;CXO概念;上海自贸;养老概念;核污防治;AIGC概念|12
60|000750|国海证券|3.91|1.03|证券|22663155712||0
61|000762|西藏矿业|38.7|-0.51|能源金属|20154982400|稀缺资源;锂电池;镍金属;钴金属;盐湖提锂;锂矿;化肥概念|7
62|000766|通化金马|24.67|3.14|化学制药|23831410688|工业大麻;创新药;肝炎概念;民营医院;DeepSeek|5
63|000768|中航西飞|23.5|0|航空装备|65245728768|国防军工;无人机;军民融合;低空经济;商业航天;大飞机|6
64|000776|广发证券|21.23|-0.23|证券|125342957568|含H股|1
65|000783|长江证券|7.99|10.06|证券|44185284608||0
66|000786|北新建材|25.94|-0.88|装饰建材|43825836032|BIPV概念;装配建筑;绿色建筑;雅江水电;通达信88;雄安新区;DeepSeek|7
67|000792|盐湖股份|39.29|-0.53|农用化工|207904047104|旅游概念;盐湖提锂;新能源车;锂矿;储能;化肥概念;通达信88;稀缺资源;锂电池|9
68|000800|一汽解放|6.73|-4.27|商用车|33117241344|固态电池;车联网;DeepSeek;燃料电池;氢能源;新能源车;无人驾驶|7
69|000807|云铝股份|31.8|-3.99|工业金属|110279892992|燃料电池;新能源车;工业互联|3
70|000811|冰轮环境|24.95|1.3|通用设备|24410974208|数据中心;液冷服务;冷链物流;热泵概念;雅江水电;碳中和;国防军工;核电核能;水利建设;创投概念;3D打印;地热能;体育概念;智能机器;超导概念;固态电池;可控核变;人工智能;供销社;燃料电池;氢能源;宠物经济;新能源车;储能|24
71|000825|太钢不锈|4.25|-1.16|特钢|24209051648|临界发电;可控核变;燃料电池;氢能源;商业航天;芯片;核电核能;光伏;一带一路|9
72|000830|鲁西化工|17.06|0.41|化学原料|32485244928|有机硅;新材料;乡村振兴;氢能源;磷概念;化肥概念|6
73|000831|中国稀土|54.44|0.76|稀有金属|57772859392|中特估;稀土永磁|2
74|000858|五 粮 液|97.08|-1.28|酿酒|376810635264|白酒概念;新零售|2
75|000875|电投绿能|6.53|-0.61|电力|21825736704|光伏;页岩气;风电;充电桩;一带一路;氢能源;储能;绿色电力;智能机器;PPP概念;临界发电;燃料电池|12
76|000876|新 希 望|8.73|0.11|饲料|39285030912|鸡肉;乡村振兴;预制菜;含可转债;猪肉|5
77|000877|天山股份|4.64|-1.07|水泥|32992673792|绿色电力;一带一路|2
78|000878|云南铜业|19.1|-1.65|工业金属|38269157376|黄金概念;稀缺资源|2
79|000883|湖北能源|4.86|-0.21|电力|31490787328|磷概念;储能;天然气;核电核能;光伏;页岩气;风电;绿色电力;临界发电|9
80|000887|中鼎股份|17.4|-0.57|汽车零部件|22870048768|低空经济;新能源车;减速器;飞行汽车;储能;热管理;无人驾驶;高铁;国防军工;充电桩;特斯拉;数据中心;液冷服务;毫米雷达;智能机器;算力租赁;汽车电子;无人机;华为汽车;人形机器;燃料电池|21
81|000893|亚钾国际|54.05|-1.96|农用化工|43878133760|化肥概念;粤港澳;供销社|3
82|000895|双汇发展|27.73|0.4|食品加工|96062521344|预制菜;人造肉;通达信88;猪肉|4
83|000921|海信家电|24.03|2.12|白色家电|22062747648|含H股;新能源车;热管理;智能家居;DeepSeek;人形机器;热泵概念|7
84|000932|华菱钢铁|4.64|-5.88|普钢|31796107264|核电核能;新能源车;中特估|3
85|000933|神火股份|32.13|-2.78|工业金属|72209612800|稀缺资源;锂电池;风电|3
86|000935|四川双马|26.72|-3.71|水泥|20399124480|创投概念;职业教育;减肥药;CXO概念;辅助生殖|5
87|000938|紫光股份|31.99|-1.33|IT设备|91493728256|物联网;5G概念;云计算;安防服务;智能交通;信息安全;大数据;CPO概念;AI智能体;工业互联;阿里概念;芯片;储能;数据中心;东数西算;液冷服务;操作系统;抖音概念;数字孪生;AIGC概念;数据要素;智能机器;智慧政务;算力租赁;英伟达;车联网;DeepSeek;6G概念;人工智能;国资云|30
88|000951|中国重汽|21.85|-3.74|商用车|25542539264|燃料电池;绿色电力;冷链物流;光伏;氢能源;新能源车;减速器;无人驾驶|8
89|000958|电投产融|5.92|-1.17|电力|31869741056|雄安新区;乡村振兴;核电核能;光伏;地热能;风电;绿色电力|7
90|000959|首钢股份|4.56|-2.77|普钢|33979330560|新能源车;智能机器;雄安新区;DeepSeek;人形机器;创投概念;特斯拉|7
91|000960|锡业股份|35.25|-1.56|稀有金属|58001477632|稀缺资源|1
92|000962|东方钽业|43.87|-1.17|稀有金属|22008016896|稀缺资源;国防军工;核电核能;3D打印;商业航天;芯片;超级电容;新材料;超导概念;钛金属;可控核变|11
93|000963|华东医药|33.35|-0.57|化学制药|58462986240|医美概念;口罩防护;人工智能;仿制药;创新药;宠物经济;减肥药;合成生物;AI医疗;免疫治疗;冷链物流;肝炎概念|12
94|000967|盈峰环境|13.57|-3.83|环保设备|43688521728|智能电网;含可转债;高铁;物联网;核电核能;节能环保;充电桩;智能机器;PPP概念;算力租赁;新能源车;储能;无人驾驶;智慧城市;垃圾分类;数据要素|16
95|000969|安泰科技|21.37|1.09|金属新材料|22091153408|氢能源;低空经济;新能源车;MicroLED;飞行汽车;商业航天;芯片;三代半导;核污防治;大飞机;新材料;智能机器;超导概念;固态电池;可控核变;OLED概念;燃料电池;5G概念;国防军工;稀土永磁;核电核能;创投概念;节能环保;3D打印;碳纤维;苹果概念;一带一路|27
96|000973|佛塑科技|20.99|-1.41|塑料|20306212864|航运概念;跨境电商;新材料;固态电池;粤港澳;口罩防护;OLED概念;特高压;AI眼镜;锂电池;石墨烯|11
97|000975|山金国际|26.05|-4.26|贵金属|65839611904|黄金概念|1
98|000977|浪潮信息|69.75|-3.5|IT设备|102311526400|水利建设;云计算;信息安全;智慧城市;数据中心;东数西算;液冷服务;操作系统;抖音概念;边缘计算;AIGC概念;大数据;元宇宙;百度概念;无人驾驶;算力租赁;英伟达;车联网;DeepSeek;人工智能;腾讯概念;国资云;信创;国产软件|24
99|000981|山子高科|3.84|2.4|汽车零部件|36531286016|跨境电商;新能源车;汽车拆解;先进封装;减速器;阿里概念;芯片;物业管理;无人驾驶;物联网;高端装备;上海自贸;汽车电子;华为汽车|14
100|000983|山西焦煤|7.02|0.29|煤炭开采|39853006848|人形机器|1
101|000987|越秀资本|9|-3.23|多元金融|45120102400|粤港澳;乡村振兴;商业航天;绿色电力;创投概念;新零售;风电|7
102|000988|华工科技|119.53|0.41|自动化设备|120125931520|物联网;5G概念;国防军工;创投概念;卫星导航;高端装备;3D打印;苹果概念;充电桩;特斯拉;乡村振兴;氢能源;CPO概念;AI智能体;新能源车;MicroLED;先进封装;铜缆连接;商业航天;阿里概念;芯片;百度概念;储能;热管理;PCB概念;折叠屏;智能机器;智能家居;量子科技;汽车电子;6G概念;新型工业;腾讯概念;光通信;华为汽车;基因概念;智慧城市;东数西算;三代半导;大飞机;钙钛矿;新材料;工业母机;数字孪生;高压快充;数据要素|46
103|000997|新 大 陆|19.89|-0.85|IT设备|20037967872|大数据;乡村振兴;AI智能体;ETC概念;跨境支付;机器视觉;阿里概念;芯片;电子身份;海峡西岸;物联网;食品安全;安防服务;智能交通;网络游戏;互联金融;华为鸿蒙;多模态AI;DeepSeek;人工智能;数字货币;区块链;智慧城市;边缘计算;冷链物流;数据要素;华为算力|27
104|000999|华润三九|25.91|-0.58|中药|43080400896|口罩防护;仿制药;绿色电力;光伏;创新药|5
105|001203|大中矿业|52.31|1.97|冶钢原料|68315500544|含可转债;锂电池;创投概念;光伏;固态电池;旅游概念;职业教育;乡村振兴;锂矿;储能;绿色电力|11
106|001267|汇绿生态|53.96|0.07|通信设备|32734363648|光伏;新型城镇;光通信;乡村振兴;CPO概念;铜缆连接|6
107|001287|中电港|26.46|3.28|其他电子|20106956800|智能机器;智能家居;消费电子;英伟达;DeepSeek;粤港澳;汽车电子;人工智能;存储芯片;小米汽车;人形机器;国产软件;智能电网;物联网;卫星导航;充电桩;信息安全;小米概念;无线耳机;星闪概念;低空经济;新能源车;机器视觉;芯片;储能;华为海思;智能医疗;跨境电商;MCU芯片;边缘计算;毫米雷达;数据要素|32
108|001289|龙源电力|16.8|3.83|电力|84704485376|乡村振兴;碳中和;含H股;光伏;生物质能;风电;一带一路;绿色电力;光热发电;DeepSeek|10
109|001309|德明利|524.81|0.36|半导体|84665704448|粤港澳;汽车电子;人工智能;光通信;存储芯片;数据中心;CPO概念;芯片;储能;AI手机PC|10
110|001337|四川黄金|53.73|5.29|贵金属|22566600704|黄金概念;稀缺资源|2
111|001389|广合科技|163.25|-0.46|元器件|24811730944|智能机器;消费电子;粤港澳;汽车电子;人工智能;含H股;5G概念;国防军工;卫星导航;一带一路;CPO概念;商业航天;PCB概念;数据中心|14
112|001872|招商港口|22.15|1.79|航运港口|50989334528|粤港澳;中特估;航运概念;含B股;一带一路|5
113|001896|豫能控股|15.24|-9.98|电力|23252908032|碳中和;创投概念;光伏;生物质能;风电;充电桩;数据中心;绿色电力;东数西算;临界发电;人工智能;氢能源;BIPV概念;储能;虚拟电厂|15
114|001965|招商公路|9.4|0.97|公路铁路|63873892352|光伏;智能交通;智慧城市;绿色电力;数据要素;PPP概念;中特估|7
115|001979|招商蛇口|8.7|-1.47|房地产开发|73198174208|雄安新区;粤港澳;海峡西岸;通达信88;养老概念;低空经济;免税概念;物业管理;租购同权|9
116|002001|新 和 成|34.8|-0.46|化学制品|105682796544|氟概念;维生素;新材料;合成生物;商业航天|5
117|002007|华兰生物|14.42|-0.83|生物制品|22687412224|基因概念;创新药;生物疫苗;肝炎概念|4
118|002008|大族激光|100.72|-2.54|自动化设备|96361578496|MiniLED;三代半导;TOPCon;钙钛矿;光刻机;工业母机;小米概念;新能源车;HJT电池;MicroLED;先进封装;机器视觉;减速器;商业航天;芯片;储能;PCB概念;智能机器;消费电子;固态电池;口罩防护;新型工业;OLED概念;光通信;存储芯片;AI眼镜;物联网;国防军工;锂电池;光伏;高端装备;3D打印;苹果概念;特斯拉|34
119|002015|协鑫能科|17.75|-5.03|电力|28814012416|算力租赁;英伟达;区块链;换电概念;新能源车;电池回收;百度概念;储能;虚拟电厂;碳中和;智能电网;锂电池;水利建设;光伏;节能环保;风电;充电桩;数据中心;绿色电力;东数西算;高压快充|21
120|002025|航天电器|73.19|8.16|军工电子|33218840576|光通信;小米概念;CPO概念;低空经济;新能源车;机器视觉;铜缆连接;商业航天;数据中心;大飞机;液冷服务;物联网;5G概念;国防军工;核电核能;卫星导航;智能穿戴|17
121|002027|分众传媒|6.29|-2.02|广告营销|90841440256|阿里概念;通达信88;智能穿戴;体育概念;DeepSeek|5
122|002028|思源电气|195|-0.94|电网设备|119077330944|特高压;芯片;储能;超级电容;智能电网;物联网;充电桩|7
123|002032|苏 泊 尔|47.09|-1.05|小家电|37726228480|新零售;一带一路|2
124|002044|美年健康|5.43|3.23|医疗服务|21037053952|DeepSeek;家庭医生;人工智能;基因概念;区块链;AI智能体;阿里概念;AI医疗;AIGC概念;数据要素;智能穿戴;上海自贸;养老概念;民营医院|14
125|002046|国机精工|52.21|4.13|通用设备|27608813568|智能机器;无人机;军民融合;培育钻石;新能源车;商业航天;芯片;智能医疗;高铁;国防军工;核电核能;卫星导航;光伏;高端装备;风电;三代半导;大飞机;新材料;工业母机|19
126|002049|紫光国微|77.32|1.9|半导体|65684463616|消费电子;汽车芯片;车联网;汽车电子;人工智能;数字货币;存储芯片;区块链;含可转债;物联网;5G概念;国防军工;卫星导航;智能穿戴;三代半导;大飞机;MCU芯片;EDA概念;CPO概念;ETC概念;商业航天;芯片|22
127|002050|三花智控|46.92|4.69|家电零部件|172862537728|小米概念;新能源车;储能;热管理;含H股;一带一路;特斯拉;智能机器;DeepSeek;华为汽车;人形机器;燃料电池;数据中心;液冷服务;热泵概念|15
128|002056|横店东磁|18.94|-1.15|光伏设备|30778097664|智能机器;5G概念;锂电池;稀土永磁;光伏;苹果概念;特斯拉;氢能源;BIPV概念;低空经济;新能源车;工业互联;储能;东数西算;TOPCon;钙钛矿;BC电池;新材料|18
129|002064|华峰化学|11.76|1.29|化纤|58235412480|聚氨酯;降解塑料|2
130|002065|东华软件|8.23|0|软件服务|23932194816|大数据;元宇宙;低空经济;AI智能体;工业互联;跨境支付;知识付费;芯片;百度概念;储能;智能医疗;无人驾驶;水利建设;卫星导航;云计算;海南自贸;智能交通;互联金融;养老概念;信息安全;智慧城市;数据中心;东数西算;抖音概念;数字孪生;数据要素;华为算力;雄安新区;华为鸿蒙;智慧政务;旅游概念;算力租赁;车联网;DeepSeek;军民融合;DRG-DIP;ChatGPT;智谱AI;人工智能;腾讯概念;信创;国产软件;虚拟现实;区块链|44
131|002074|国轩高科|36.74|-2.68|电池|63792443392|低空经济;新能源车;钠电池;锂矿;电池回收;飞行汽车;储能;数据中心;碳中和;智能电网;锂电池;风电;充电桩;固态电池;人工智能;含GDR;含GDR|17
132|002078|太阳纸业|14.71|-2.65|造纸|40854884352|通达信88;一带一路;代糖概念|3
133|002080|中材科技|55.17|-3.04|玻璃玻纤|92582076416|5G概念;国防军工;锂电池;节能环保;风电;固态电池;无人机;口罩防护;6G概念;燃料电池;新材料;氢能源;新能源车;商业航天;PCB概念|15
134|002085|万丰奥威|13.63|-0.51|汽车零部件|28940546048|一体压铸;无人机;华为汽车;区块链;低空经济;新能源车;飞行汽车;商业航天;碳中和;5G概念;国防军工;锂电池;节能环保;碳纤维;风电;特斯拉|16
135|002120|韵达股份|7.86|-0.13|物流|22126923776|含可转债;乡村振兴;低空经济;阿里概念;无人驾驶;抖音概念;冷链物流|7
136|002126|银轮股份|46.02|-1.52|汽车零部件|36549787648|智能机器;华为汽车;小米汽车;人形机器;燃料电池;含可转债;创投概念;充电桩;特斯拉;氢能源;低空经济;新能源车;工业互联;储能;热管理;数据中心;东数西算;液冷服务|18
137|002128|电投能源|32.36|-1.31|煤炭开采|72537317376|储能;光伏;风电;绿色电力;数据要素|5
138|002129|TCL中环|8.66|0.46|光伏设备|34984488960|BC电池;新材料;光伏;苹果概念;一带一路;HJT电池;商业航天;芯片|8
139|002130|沃尔核材|22.74|-0.7|其他电子|26026196992|新能源车;工业互联;铜缆连接;华为海思;智能电网;含H股;锂电池;核电核能;3D打印;风电;充电桩;互联金融;数据中心;绿色电力;大飞机;新材料;高压快充;智能机器;消费电子;粤港澳;人形机器|21
140|002131|利欧股份|6.45|-1.83|广告营销|37763452928|多模态AI;DeepSeek;口罩防护;ChatGPT;人工智能;腾讯概念;区块链;核电核能;水利建设;创投概念;一带一路;大数据;小米概念;小红书;AI智能体;新能源车;机器视觉;芯片;百度概念;数据中心;液冷服务;AI营销;跨境电商;抖音概念;AIGC概念;数据要素|26
141|002138|顺络电子|33.95|-3.47|元器件|25683167232|小米概念;CPO概念;新能源车;芯片;储能;PCB概念;物联网;5G概念;国防军工;创投概念;消费电子;固态电池;汽车电子;无人机;6G概念;AI眼镜;燃料电池;数据中心|18
142|002142|宁波银行|33.2|-1.04|地方性银行|219101478912||0
143|002149|西部材料|63.51|9.99|稀有金属|31001724928|5G概念;国防军工;核电核能;卫星导航;氢能源;商业航天;折叠屏;超导概念;钛金属;可控核变;燃料电池|11
144|002152|广电运通|11.66|-0.26|IT设备|28941678592|高铁;物联网;创投概念;云计算;安防服务;智能交通;互联金融;信息安全;智能机器;华为鸿蒙;智慧政务;算力租赁;英伟达;车联网;DeepSeek;人工智能;腾讯概念;数字货币;国资云;信创;人形机器;区块链;大数据;AI智能体;跨境支付;Web3概念;机器视觉;阿里概念;百度概念;智慧城市;数据中心;东数西算;液冷服务;边缘计算;数据确权;数据要素;华为算力|37
145|002155|湖南黄金|29.07|0.28|贵金属|45422194688|黄金概念|1
146|002156|通富微电|51.77|4.59|半导体|78558502912|物联网;创投概念;智能穿戴;特斯拉;消费电子;汽车电子;存储芯片;CPO概念;先进封装;芯片;华为海思;AI手机PC;三代半导;毫米雷达;玻璃基板|15
147|002157|正邦科技|3.47|5.15|养殖业|27022473216|绿色电力;猪肉;碳中和;光伏;土地流转;乡村振兴|6
148|002176|江特电机|16.05|-0.25|能源金属|27340003328|低空经济;新能源车;锂矿;飞行汽车;稀缺资源;锂电池;风电;智能机器;固态电池;无人机;人形机器;大飞机|12
149|002179|中航光电|36.56|0.86|军工电子|76648185856|换电概念;CPO概念;低空经济;新能源车;铜缆连接;商业航天;芯片;储能;通达信88;智能电网;5G概念;国防军工;核电核能;卫星导航;光伏;充电桩;特斯拉;智能机器;量子科技;车联网;无人机;军民融合;6G概念;可控核变;光通信;数据中心;大飞机;液冷服务|28
150|002180|奔图科技|19.16|1.81|IT设备|26063108096|MCU芯片;物联网;高端装备;小米概念;芯片;智能机器;华为鸿蒙;汽车芯片;粤港澳;汽车电子;信创;人形机器|12
151|002185|华天科技|13.11|2.66|半导体|42818007040|CPO概念;先进封装;芯片;华为海思;物联网;5G概念;智能机器;汽车芯片;汽车电子;存储芯片;三代半导;毫米雷达|12
152|002192|融捷股份|109.22|10|能源金属|28300834816|稀缺资源;锂电池;粤港澳;锂矿;储能|5
